;Datum izida;Angleski naslov filma;Proraèun;Prihodek v ZDA;Prihodek po celem svetu
1;12/18/2009;Avatar;$425,000,000;$760,507,625;$2,783,918,982
2;5/24/2007;Pirates of the Caribbean: At World's End;$300,000,000;$309,420,425;$960,996,492
3;7/20/2012;The Dark Knight Rises;$275,000,000;$448,139,099;$1,079,343,943
4;7.2.2013;The Lone Ranger;$275,000,000;$89,289,910;$259,989,910
5;3.9.2012;John Carter;$275,000,000;$73,058,679;$282,778,100
6;11/24/2010;Tangled;$260,000,000;$200,821,936;$586,581,936
7;5.4.2007;Spider-Man 3;$258,000,000;$336,530,303;$890,875,303
8;12/14/2012;The Hobbit: An Unexpected Journey;$250,000,000;$303,003,568;$1,014,703,568
9;7/15/2009;Harry Potter and the Half-Blood Prince;$250,000,000;$301,959,197;$934,416,487
10;12/13/2013;The Hobbit: The Desolation of Smaug;$250,000,000;$258,366,855;$950,466,855
11;5/20/2011;Pirates of the Caribbean: On Stranger Tides;$250,000,000;$241,063,875;$1,043,663,875
12;12/17/2014;The Hobbit: The Battle of the Five Armies;$250,000,000;$0;$0
13;6/28/2006;Superman Returns;$232,000,000;$200,120,000;$390,874,000
14;11/14/2008;Quantum of Solace;$230,000,000;$169,368,427;$591,692,078
15;5.4.2012;The Avengers;$225,000,000;$623,279,547;$1,514,279,547
16;7.7.2006;Pirates of the Caribbean: Dead Man's Chest;$225,000,000;$423,315,812;$1,060,615,812
17;6/14/2013;Man of Steel;$225,000,000;$291,045,518;$667,999,518
18;5/16/2008;The Chronicles of Narnia: Prince Caspian;$225,000,000;$141,621,490;$419,490,286
19;7.3.2012;The Amazing Spider-Man;$220,000,000;$262,030,663;$757,890,267
20;5/25/2012;Men in Black 3;$215,000,000;$179,020,854;$624,821,154
21;6/24/2009;Transformers: Revenge of the Fallen;$210,000,000;$402,111,870;$836,519,699
22;6/27/2014;Transformers: Age of Extinction;$210,000,000;$245,439,076;$1,081,139,076
23;5/26/2006;X-Men: The Last Stand;$210,000,000;$234,362,462;$459,359,555
24;5/14/2010;Robin Hood;$210,000,000;$105,487,148;$322,459,006
25;5/18/2012;Battleship;$209,000,000;$65,235,400;$304,150,372
26;12/14/2005;King Kong;$207,000,000;$218,080,025;$550,517,357
27;12.1.2007;The Golden Compass;$205,000,000;$70,107,728;$372,234,864
28;12/17/1997;Titanic;$200,000,000;$658,672,302;$2,207,615,668
29;6/18/2010;Toy Story 3;$200,000,000;$415,004,880;$1,063,759,456
30;5.3.2013;Iron Man 3;$200,000,000;$408,992,272;$1,212,692,272
31;6/30/2004;Spider-Man 2;$200,000,000;$373,524,485;$783,705,001
32;3.5.2010;Alice in Wonderland;$200,000,000;$334,191,110;$1,020,020,941
33;11.8.2012;Skyfall;$200,000,000;$304,360,277;$1,108,694,081
34;6/21/2013;Monsters University;$200,000,000;$268,488,329;$743,588,329
